id,timestamp,site_id,synth_point_id,lat,lon,epsg,sensor,resolution_m,NDVI,NDWI,NDMI,BSI,NBR,clay_frac,mm_interval,mm_cumulative,VV_bit,VH_bit,B_bit,score_NDVI,score_NDWI,score_NDMI,score_BSI,score_NBR,score_clay,score_insar,score_amplitude,score_overall,flags,seed,is_bad_track,notes,total,density,maintenance_priority,priority_category
rec_67,2025-10-27T00:00:00Z,line85_ord0,line85_ord0_p0,19.2952454,-99.39974161,4326,S1+S2_synthetic,10,0.707813314,-0.213055589,-0.033879224,0.061187365,0.339374924,0.014144293,-5.86682125,-28.14545306,5445,2613,4806,0.0,0.0,0.443534627,0.174821041,0.101041794,0.035360734,1.0,0.148347771,0.308353992,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=34.58; surface=vegetated; bsi_profile=bare,261,0.268199234,0.633518132,MEDIUM
rec_68,2025-10-28T00:00:00Z,line85_ord0,line85_ord0_p0,19.2952454,-99.39974161,4326,S1+S2_synthetic,10,0.55922356,-0.268717766,-0.062497418,0.097257508,0.354841384,0.008254755,-5.025731595,-29.86134299,4397,2685,3836,0.09061431,0.0,0.395837636,0.277878596,0.07526436,0.020636887,1.0,0.080408476,0.321628289,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=34.58; surface=vegetated; bsi_profile=bare,261,0.268199234,0.633518132,MEDIUM
rec_69,2025-10-29T00:00:00Z,line85_ord0,line85_ord0_p0,19.2952454,-99.39974161,4326,S1+S2_synthetic,10,0.47184037,-0.288202197,-0.081502847,0.125085947,0.350564696,0.003699706,-4.410471889,-30.9619732,4965,2478,4486,0.284799178,0.0,0.364161921,0.357388421,0.082392174,0.009249266,1.0,0.043573918,0.362322951,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=34.58; surface=vegetated; bsi_profile=bare,261,0.268199234,0.633518132,MEDIUM
rec_70,2025-10-30T00:00:00Z,line85_ord0,line85_ord0_p0,19.2952454,-99.39974161,4326,S1+S2_synthetic,10,0.487237166,-0.297586813,-0.111562691,0.057117894,0.381079918,0.0,-3.259549083,-30.91168062,7836,7183,5009,0.250584076,0.0,0.314062182,0.163193984,0.031533469,0.0,1.0,0.67025253,0.351788188,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=34.58; surface=vegetated; bsi_profile=bare,261,0.268199234,0.633518132,MEDIUM
rec_71,2025-10-31T00:00:00Z,line85_ord0,line85_ord0_p0,19.2952454,-99.39974161,4326,S1+S2_synthetic,10,0.527221003,-0.288641957,-0.148791277,0.118987246,0.391938423,0.030906709,-2.804130338,-30.40596928,3923,5151,2723,0.161731105,0.0,0.252014538,0.33996356,0.013435962,0.077266772,1.0,0.183872656,0.319217124,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=34.58; surface=vegetated; bsi_profile=bare,261,0.268199234,0.633518132,MEDIUM
rec_72,2025-11-01T00:00:00Z,line85_ord0,line85_ord0_p0,19.2952454,-99.39974161,4326,S1+S2_synthetic,10,0.590602103,-0.280432307,-0.136646763,0.07902729,0.374215595,0.031008772,-4.11600991,-31.21213752,3643,3436,2881,0.020884215,0.0,0.272255395,0.225792258,0.042974009,0.077521931,1.0,0.244990737,0.290166113,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=34.58; surface=vegetated; bsi_profile=bare,261,0.268199234,0.633518132,MEDIUM
rec_185,2025-10-25T00:00:00Z,line13_ord0,line13_ord0_p0,20.08342571,-99.28061605,4326,S1+S2_synthetic,10,0.41564113,-0.13722777,-0.079307971,0.135154025,0.343241685,0.035575743,-4.950893974,-39.79104625,2701,2434,2460,0.409686378,0.156930575,0.367820048,0.386154357,0.094597192,0.088939357,1.0,0.388918359,0.429501241,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=30.01; surface=water; bsi_profile=bare,486,0.263374486,0.473728683,MEDIUM
rec_186,2025-10-26T00:00:00Z,line13_ord0,line13_ord0_p0,20.08342571,-99.28061605,4326,S1+S2_synthetic,10,0.378193616,-0.128418438,-0.089392464,0.161846522,0.339340641,0.015703673,-4.679440573,-39.49332221,551,2049,544,0.492903076,0.178953905,0.35101256,0.462418636,0.101098932,0.039259184,1.0,0.471786192,0.456086862,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=30.01; surface=water; bsi_profile=bare,486,0.263374486,0.473728683,MEDIUM
rec_187,2025-10-27T00:00:00Z,line13_ord0,line13_ord0_p0,20.08342571,-99.28061605,4326,S1+S2_synthetic,10,0.383495647,-0.116333073,-0.108636297,0.15271599,0.354259668,0.010481413,-4.409259583,-38.92541718,2479,1253,3218,0.481120784,0.209167318,0.318939505,0.4363314,0.076233887,0.026203532,1.0,0.30004561,0.436362495,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=30.01; surface=water; bsi_profile=bare,486,0.263374486,0.473728683,MEDIUM
rec_188,2025-10-28T00:00:00Z,line13_ord0,line13_ord0_p0,20.08342571,-99.28061605,4326,S1+S2_synthetic,10,0.406231298,-0.154761259,-0.07882984,0.106933072,0.327065953,0.0,-4.864942003,-38.81319457,1615,1265,2083,0.430597116,0.113096852,0.368616933,0.305523063,0.121556745,0.0,1.0,0.045837521,0.403799342,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=30.01; surface=water; bsi_profile=bare,486,0.263374486,0.473728683,MEDIUM
rec_189,2025-10-29T00:00:00Z,line13_ord0,line13_ord0_p0,20.08342571,-99.28061605,4326,S1+S2_synthetic,10,0.39122215,-0.166304388,-0.066628649,0.096907665,0.294841706,0.0,-4.591846657,-38.42787662,2473,2916,2085,0.463950779,0.08423903,0.388952252,0.276879042,0.175263824,0.0,1.0,0.297643644,0.428416556,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=30.01; surface=water; bsi_profile=bare,486,0.263374486,0.473728683,MEDIUM
rec_190,2025-10-30T00:00:00Z,line13_ord0,line13_ord0_p0,20.08342571,-99.28061605,4326,S1+S2_synthetic,10,0.337290077,-0.140939473,-0.092117057,0.083879245,0.242421115,0.0,-5.150112717,-38.60082473,502,1554,574,0.396416454,0.059564147,0.308089465,0.299568732,0.161622677,0.0,1.0,0.49140225,0.410223512,"[""cloud_mask"", ""critical_threshold"", ""insar_critical"", ""coherence_low"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=30.01; surface=water; bsi_profile=bare,486,0.263374486,0.473728683,MEDIUM
rec_191,2025-10-31T00:00:00Z,line13_ord0,line13_ord0_p0,20.08342571,-99.28061605,4326,S1+S2_synthetic,10,0.397585707,-0.151648024,-0.118109561,0.107543268,0.335471981,0.0,-6.372156505,-39.99581662,1220,1617,1364,0.449809539,0.12087994,0.303150731,0.30726648,0.107546698,0.0,1.0,0.203966962,0.404579512,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=30.01; surface=water; bsi_profile=bare,486,0.263374486,0.473728683,MEDIUM
rec_192,2025-11-01T00:00:00Z,line13_ord0,line13_ord0_p0,20.08342571,-99.28061605,4326,S1+S2_synthetic,10,0.427778265,-0.157031976,-0.108708845,0.010634232,0.380364258,0.0,-4.903228426,-39.92188044,2295,1815,2412,0.382714967,0.107420059,0.318818591,0.030383521,0.032726237,0.0,1.0,0.226385313,0.354374341,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=30.01; surface=water; bsi_profile=bare,486,0.263374486,0.473728683,MEDIUM
rec_241,2025-10-25T00:00:00Z,line97_ord0,line97_ord0_p0,27.1437873,-104.9181683,4326,S1+S2_synthetic,10,0.436175388,-0.224296821,-0.100528473,0.106958365,0.325298101,0.02089061,-3.192902218,-28.72883389,3523,7593,2225,0.364054694,0.0,0.332452545,0.305595328,0.124503166,0.052226524,1.0,0.290379227,0.389044116,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=37.46; surface=vegetated; bsi_profile=bare,206,0.208737864,-1.335765911,LOW
rec_242,2025-10-26T00:00:00Z,line97_ord0,line97_ord0_p0,27.1437873,-104.9181683,4326,S1+S2_synthetic,10,0.450707258,-0.218996121,-0.094212083,0.141673535,0.337088347,0.005957451,-3.915065461,-28.99590911,7540,8404,4667,0.331761649,0.0,0.342979861,0.404781527,0.104852754,0.014893628,1.0,0.508082897,0.400154201,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=37.46; surface=vegetated; bsi_profile=bare,206,0.208737864,-1.335765911,LOW
rec_243,2025-10-27T00:00:00Z,line97_ord0,line97_ord0_p0,27.1437873,-104.9181683,4326,S1+S2_synthetic,10,0.429529607,-0.182968708,-0.1013935,0.149083684,0.327356158,0.0,-5.731771156,-31.07969003,3815,2648,3347,0.378823095,0.04257823,0.331010834,0.425953384,0.121073069,0.0,1.0,0.232338167,0.402047274,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=37.46; surface=vegetated; bsi_profile=bare,206,0.208737864,-1.335765911,LOW
rec_244,2025-10-28T00:00:00Z,line97_ord0,line97_ord0_p0,27.1437873,-104.9181683,4326,S1+S2_synthetic,10,0.37340601,-0.188255082,-0.110494679,0.157112122,0.334988311,0.0,-3.09705501,-30.5287548,7430,3899,5620,0.503542201,0.029362295,0.315842202,0.448891779,0.108352814,0.0,1.0,0.486218114,0.436474006,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=37.46; surface=vegetated; bsi_profile=bare,206,0.208737864,-1.335765911,LOW
rec_245,2025-10-29T00:00:00Z,line97_ord0,line97_ord0_p0,27.1437873,-104.9181683,4326,S1+S2_synthetic,10,0.359128338,-0.239251354,-0.076973285,0.093773243,0.332272602,0.013331874,-3.682591417,-30.56335598,2784,4503,2010,0.535270361,0.0,0.371711192,0.267923552,0.112878996,0.033329685,1.0,0.437270816,0.43006498,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=37.46; surface=vegetated; bsi_profile=bare,206,0.208737864,-1.335765911,LOW
rec_246,2025-10-30T00:00:00Z,line97_ord0,line97_ord0_p0,27.1437873,-104.9181683,4326,S1+S2_synthetic,10,0.425992285,-0.227350693,-0.091071876,0.155782697,0.278692052,0.011701089,-5.100074789,-32.01544053,3888,5178,2694,0.386683811,0.0,0.34821354,0.445093421,0.202179913,0.029252722,1.0,0.217827902,0.416759154,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=37.46; surface=vegetated; bsi_profile=bare,206,0.208737864,-1.335765911,LOW
rec_247,2025-10-31T00:00:00Z,line97_ord0,line97_ord0_p0,27.1437873,-104.9181683,4326,S1+S2_synthetic,10,0.428830316,-0.223830301,-0.092744407,0.109917873,0.332494603,0.009705783,-4.681667578,-33.04911787,5528,5260,3815,0.380377076,0.0,0.345425988,0.314051066,0.112508995,0.024264457,1.0,0.108156137,0.382791799,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=37.46; surface=vegetated; bsi_profile=bare,206,0.208737864,-1.335765911,LOW
rec_248,2025-11-01T00:00:00Z,line97_ord0,line97_ord0_p0,27.1437873,-104.9181683,4326,S1+S2_synthetic,10,0.443888227,-0.221026141,-0.10994455,0.157995961,0.335402905,0.032368537,-2.669709184,-32.07083681,5363,7554,3391,0.346915052,0.0,0.316759084,0.451417031,0.107661826,0.080921341,1.0,0.075358963,0.386001865,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=37.46; surface=vegetated; bsi_profile=bare,206,0.208737864,-1.335765911,LOW
rec_249,2025-10-25T00:00:00Z,line104_ord26670,line104_ord26670_p0,25.95214671,-100.9403453,4326,S1+S2_synthetic,10,0.583227284,-0.256192021,-0.094958656,0.136072526,0.358662562,0.0,6.171763952,38.53734578,7486,3429,5925,0.037272703,0.0,0.341735574,0.388778645,0.06889573,0.0,1.0,0.068333358,0.311343769,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=-19.51; surface=urban; bsi_profile=bare,210,0.195238095,-1.782860883,LOW
rec_250,2025-10-26T00:00:00Z,line104_ord26670,line104_ord26670_p0,25.95214671,-100.9403453,4326,S1+S2_synthetic,10,0.6746652,-0.256817047,-0.097176031,0.090778889,0.354380278,0.0,3.562144704,37.47583594,6449,1234,8450,0.0,0.0,0.338039949,0.259368255,0.07603287,0.0,1.0,0.259657535,0.301030625,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=-19.51; surface=urban; bsi_profile=bare,210,0.195238095,-1.782860883,LOW
rec_251,2025-10-27T00:00:00Z,line104_ord26670,line104_ord26670_p0,25.95214671,-100.9403453,4326,S1+S2_synthetic,10,0.686182939,-0.273823895,-0.083675098,0.195873654,0.370377546,0.0,5.17571778,38.02789917,7874,1351,9762,0.0,0.0,0.360541503,0.559639012,0.049370756,0.0,1.0,0.003251773,0.317613329,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=-19.51; surface=urban; bsi_profile=bare,210,0.195238095,-1.782860883,LOW
rec_252,2025-10-28T00:00:00Z,line104_ord26670,line104_ord26670_p0,25.95214671,-100.9403453,4326,S1+S2_synthetic,10,0.631217396,-0.259556595,-0.096721595,0.220952954,0.373476599,0.0,4.400850067,37.80509469,7903,1424,9501,0.0,0.0,0.338797342,0.631294154,0.044205668,0.0,1.0,0.008602208,0.321009977,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=-19.51; surface=urban; bsi_profile=bare,210,0.195238095,-1.782860883,LOW
rec_253,2025-10-29T00:00:00Z,line104_ord26670,line104_ord26670_p0,25.95214671,-100.9403453,4326,S1+S2_synthetic,10,0.655261752,-0.246904959,-0.084679792,0.154072298,0.368806836,0.008024728,3.821503701,37.00294384,6671,684,13088,0.0,0.0,0.358867013,0.440206566,0.051988607,0.020061819,1.0,0.218699032,0.317587042,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=-19.51; surface=urban; bsi_profile=bare,210,0.195238095,-1.782860883,LOW
rec_254,2025-10-30T00:00:00Z,line104_ord26670,line104_ord26670_p0,25.95214671,-100.9403453,4326,S1+S2_synthetic,10,0.44945365,-0.167946286,-0.065730728,0.137202753,0.269937027,0.0,5.524820368,37.90410967,12029,2687,10490,0.084850973,0.0,0.363060984,0.490009833,0.104297861,0.0,1.0,0.769839966,0.374567003,"[""cloud_mask"", ""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=-19.51; surface=urban; bsi_profile=bare,210,0.195238095,-1.782860883,LOW
rec_255,2025-10-31T00:00:00Z,line104_ord26670,line104_ord26670_p0,25.95214671,-100.9403453,4326,S1+S2_synthetic,10,0.51863374,-0.230525338,-0.087673277,0.169954255,0.409217349,0.011900406,4.410579907,37.69103503,5742,1017,8514,0.180813911,0.0,0.353877872,0.485583586,0.0,0.029751016,1.0,0.390097451,0.358795245,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=-19.51; surface=urban; bsi_profile=bare,210,0.195238095,-1.782860883,LOW
rec_256,2025-11-01T00:00:00Z,line104_ord26670,line104_ord26670_p0,25.95214671,-100.9403453,4326,S1+S2_synthetic,10,0.55363601,-0.239706757,-0.095530957,0.127097753,0.349266784,0.001119016,2.831377112,35.89875759,8697,1910,8901,0.103031088,0.0,0.340781738,0.363136437,0.08455536,0.00279754,1.0,0.15509343,0.328614975,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=-19.51; surface=urban; bsi_profile=bare,210,0.195238095,-1.782860883,LOW
rec_305,2025-10-25T00:00:00Z,line86_ord0,line86_ord0_p0,25.57871534,-99.87382782,4326,S1+S2_synthetic,10,0.729162887,-0.243279931,-0.129496664,0.149486889,0.316552355,0.017192209,-5.082538236,-25.78027266,8399,1820,8813,0.0,0.0,0.284172226,0.427105396,0.139079409,0.042980522,1.0,0.155539015,0.316124262,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.37; surface=urban; bsi_profile=bare,237,0.257383966,0.275330391,MEDIUM
rec_306,2025-10-26T00:00:00Z,line86_ord0,line86_ord0_p0,25.57871534,-99.87382782,4326,S1+S2_synthetic,10,0.603391175,-0.231911839,-0.100391332,0.194616504,0.350693134,0.022075589,-3.599644609,-26.42309807,8237,803,14374,0.0,0.0,0.332681113,0.556047155,0.08217811,0.055188973,1.0,0.173393626,0.329262729,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.37; surface=urban; bsi_profile=bare,237,0.257383966,0.275330391,MEDIUM
rec_307,2025-10-27T00:00:00Z,line86_ord0,line86_ord0_p0,25.57871534,-99.87382782,4326,S1+S2_synthetic,10,0.621194877,-0.192395191,-0.090353992,0.185819239,0.384124899,0.023269977,-3.802557728,-27.26883659,7265,2634,6390,0.0,0.019012022,0.349410013,0.530912111,0.026458502,0.058174942,1.0,0.280521295,0.328307503,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.37; surface=urban; bsi_profile=bare,237,0.257383966,0.275330391,MEDIUM
rec_308,2025-10-28T00:00:00Z,line86_ord0,line86_ord0_p0,25.57871534,-99.87382782,4326,S1+S2_synthetic,10,0.55283659,-0.191187351,-0.078956835,0.199865649,0.336493097,0.019191809,-4.082505731,-28.39452312,7151,1334,8933,0.104807578,0.022031623,0.368405276,0.571044711,0.105844838,0.047979523,1.0,0.293085651,0.368459925,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.37; surface=urban; bsi_profile=bare,237,0.257383966,0.275330391,MEDIUM
rec_309,2025-10-29T00:00:00Z,line86_ord0,line86_ord0_p0,25.57871534,-99.87382782,4326,S1+S2_synthetic,10,0.627164794,-0.198570291,-0.076399953,0.165045651,0.365987279,0.022476088,-2.431460454,-27.86916437,13437,1467,15874,0.0,0.003574272,0.372666745,0.471559002,0.056687868,0.056190219,1.0,0.399717359,0.334711898,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.37; surface=urban; bsi_profile=bare,237,0.257383966,0.275330391,MEDIUM
rec_310,2025-10-30T00:00:00Z,line86_ord0,line86_ord0_p0,25.57871534,-99.87382782,4326,S1+S2_synthetic,10,0.452961929,-0.175411266,-0.068832488,0.107241174,0.272783916,0.025462385,-2.844813917,-27.75715908,13620,3549,10647,0.075105752,0.0,0.356598983,0.383004195,0.098366841,0.063655963,1.0,0.419886457,0.345743564,"[""cloud_mask"", ""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.37; surface=urban; bsi_profile=bare,237,0.257383966,0.275330391,MEDIUM
rec_311,2025-10-31T00:00:00Z,line86_ord0,line86_ord0_p0,25.57871534,-99.87382782,4326,S1+S2_synthetic,10,0.539100291,-0.171639246,-0.107124435,0.147148199,0.344312108,0.019861069,-1.552769952,-26.35310983,6498,1888,6690,0.135332687,0.070901886,0.321459275,0.420423425,0.092813153,0.049652673,1.0,0.365055166,0.359075324,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.37; surface=urban; bsi_profile=bare,237,0.257383966,0.275330391,MEDIUM
rec_312,2025-11-01T00:00:00Z,line86_ord0,line86_ord0_p0,25.57871534,-99.87382782,4326,S1+S2_synthetic,10,0.525357692,-0.20364366,-0.107213243,0.124878593,0.399775243,0.01736073,-3.477128713,-26.87341934,13875,4603,9951,0.165871796,0.0,0.321311262,0.356795981,0.000374594,0.043401824,1.0,0.447990938,0.341676474,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=36.37; surface=urban; bsi_profile=bare,237,0.257383966,0.275330391,MEDIUM
rec_313,2025-10-25T00:00:00Z,line66_ord0,line66_ord0_p0,20.33219748,-102.2823263,4326,S1+S2_synthetic,10,0.458278115,-0.182459897,-0.093178663,0.131819328,0.351351062,0.035190047,-6.196098562,-37.20473594,7742,6571,5049,0.314937522,0.043850257,0.344702228,0.376626651,0.081081563,0.087975118,1.0,0.618094395,0.40420624,"[""critical_threshold"", ""insar_critical"", ""synthetic_note""]",42,True,synthetic generator; insar_rate_mm_per_year=34.71; surface=vegetated; bsi_profile=bare,196,0.224489796,-0.8140822,LOW
